plot,pck,tmn,plot_type,newclass
FS_12,257.4145849,0.198749964,LowSnow_HighTemp,average
FS_15,206.0945831,0.746250025,LowSnow_HighTemp,average
FS_D1,260.6593751,0.651874986,AveSnow_HighTemp,average
FS_D2,274.8122925,0.491041632,AveSnow_HighTemp,average
FS_D4,384.7554167,-1.375416646,HighSnow_AveTemp,highsnow_hightemp
FS_D5,374.5739559,-0.373749992,HighSnow_HighTemp,highsnow_hightemp
FS_D6,328.8274982,-1.239999986,HighSnow_HighTemp,highsnow_hightemp
JM,132.1102095,-1.621249968,LowSnow_HighTemp,lowsnow_hightemp
K,104.5597918,-3.464999974,LowSnow_LowTemp,lowsnow_lowtemp
RC,17.276667,1.553333358,LowSnow_HighTemp,lowsnow_hightemp
SEKI_04,243.0418737,-3.558125026,LowSnow_AveTemp,average
SEKI_18,317.4368792,-4.218749968,HighSnow_LowTemp,average
SEKI_24,215.4608341,-1.589166704,LowSnow_AveTemp,average
SEKI_33,318.2049994,-4.522083325,HighSnow_LowTemp,average
SEKI_43,278.789164,-4.201875012,AveSnow_LowTemp,average
SEKI_48,225.4845825,-0.81916669,LowSnow_AveTemp,average
SEKI_67,248.7202089,-4.170833312,LowSnow_LowTemp,lowsnow_lowtemp
SEKI_67C,252.8293731,-4.288750028,LowSnow_LowTemp,lowsnow_lowtemp
SEKI_73,259.7866654,-3.330208305,LowSnow_AveTemp,average
SEKI_74,274.8931225,-4.25895838,AveSnow_LowTemp,average
SEKI_79,210.2137503,-3.925624968,LowSnow_LowTemp,average
YOSE_03,323.3175006,-2.696249989,HighSnow_AveTemp,average
YOSE_07,285.4199997,-2.604999987,AveSnow_AveTemp,average
YOSE_16,401.4866653,-1.667916666,HighSnow_AveTemp,average
YOSE_25,231.312497,-1.756458311,LowSnow_AveTemp,average
YOSE_36,331.2762509,-2.768125014,HighSnow_AveTemp,average
YOSE_44,378.2668755,-1.479999995,HighSnow_AveTemp,average